phase,attack,total_frames,blocked_frames,unblocked_frames,accepted_markers,raw_blocked_lines
before,overflow,100,0,100,100,0
before,state,100,0,100,100,0
before,replay,100,0,100,99,0
before,calib,100,0,100,100,0
during,overflow,100,100,0,100,681
during,state,100,0,100,100,0
during,replay,100,100,0,99,100
during,calib,100,100,0,100,100
after,overflow,100,100,0,100,687
after,state,100,0,100,100,0
after,replay,100,100,0,99,100
after,calib,100,100,0,100,100
